Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,fps,duration,num_frames,segment_start,segment_end,cycle_start_id,prediction,mae,obo
1,cow_bite,2f4338b600baddf8b021162744427b9faaf7ec28230638ceeffadbfafd86ba44_1.mp4,18,0,20.0,20.0,39.0,39.0,57.0,57.0,74.0,74.0,93.0,93.0,111.0,111.0,128.0,128.0,145.0,145.0,162.0,162.0,178.0,178.0,195.0,195.0,212.0,212.0,229.0,229.0,247.0,247.0,266.0,266.0,282.0,282.0,300.0,300.0,308.0,,,,,,,,,,,24.0,13.3333333333333,320,0,320,0,11.0,0.38888888886728395,0.0
21,cow_bite,94cdae122f4e4e40aa8ab7cdee44926435768e88eca067ed71629a073398967e_1.mp4,10,0,21.0,21.0,47.0,47.0,68.0,68.0,89.0,89.0,108.0,108.0,128.0,128.0,149.0,149.0,171.0,171.0,191.0,191.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,9.0,216,0,216,0,9.0,0.09999999999,1.0
37,cow_bite,b57a702fc0cade7763d6c30dbdd01970007eb537e18fc759f2e55132075d36db_2.mp4,10,0,28.0,28.0,52.0,52.0,77.0,77.0,106.0,106.0,129.0,129.0,150.0,150.0,180.0,180.0,204.0,204.0,229.0,229.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97,12.1788455121788,365,0,365,0,10.0,0.0,1.0
48,cow_bite,0baf219dc65f856d93429bfcaf5c6d9a1f2a8e813cc452f01f4819d32baca3d5_1.mp4,11,0,18.0,18.0,44.0,44.0,64.0,64.0,84.0,84.0,102.0,102.0,119.0,119.0,143.0,143.0,159.0,159.0,177.0,177.0,197.0,197.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,9.0,216,0,216,0,9.0,0.18181818180165288,0.0
50,cow_bite,4a639247a4b687c6ae226f986414241864b4174f8e30190b62ad4821e5c3f875_1.mp4,10,0,24.0,24.0,46.0,46.0,67.0,67.0,91.0,91.0,115.0,115.0,137.0,137.0,163.0,163.0,182.0,182.0,203.0,203.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,10.0,240,0,240,0,10.0,0.0,1.0
54,cow_bite,4fc0428ba0f9882718fb5d7e4196369d2af69c153d42de9717a25a3919782d80_2.mp4,18,0,26.0,26.0,45.0,45.0,70.0,70.0,90.0,90.0,115.0,115.0,138.0,138.0,162.0,162.0,185.0,185.0,204.0,204.0,231.0,231.0,256.0,256.0,278.0,278.0,303.0,303.0,327.0,327.0,350.0,350.0,373.0,373.0,396.0,396.0,402.0,,,,,,,,,,,24.0,26.5,636,0,636,0,17.0,0.05555555555246913,1.0
57,cow_bite,4ff8a74c52c529eceb817a1d89e76a3ae053583c2abc491ecacbe560484b2e7e_3.mp4,10,0,24.0,24.0,48.0,48.0,72.0,72.0,92.0,92.0,115.0,115.0,138.0,138.0,162.0,162.0,184.0,184.0,206.0,206.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,11.0,264,0,264,0,10.0,0.0,1.0
58,cow_bite,6be40617f843db3e56b60af7a7dac4dad0f1d647838ed30133be97b1984696d0_1.mp4,20,0,40.0,40.0,81.0,81.0,140.0,140.0,179.0,179.0,226.0,226.0,255.0,255.0,298.0,298.0,342.0,342.0,377.0,377.0,433.0,433.0,483.0,483.0,533.0,533.0,581.0,581.0,631.0,631.0,687.0,687.0,739.0,739.0,787.0,787.0,853.0,853.0,901.0,901.0,920.0,,,,,,,24.0,16.0,384,0,384,0,4.0,0.79999999996,0.0
63,cow_bite,9f06f158766658820031cf3f32a755a1403bcbcb696ce9febc42105f31f4fa46_1.mp4,14,0,23.0,23.0,55.0,55.0,80.0,80.0,102.0,102.0,129.0,129.0,149.0,149.0,179.0,179.0,198.0,198.0,223.0,223.0,246.0,246.0,263.0,263.0,288.0,288.0,309.0,309.0,318.0,,,,,,,,,,,,,,,,,,,24.0,14.0,336,0,336,0,6.0,0.571428571387755,0.0
91,cow_bite,fe7526605ea2aa760f578bbbddad07892a26c8d1ed4b4691e75c360a6cd65ab0.mp4,5,11,31.0,31.0,54.0,54.0,79.0,79.0,101.0,101.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5.2,130,0,130,0,0.0,0.9999999998,0.0
110,cow_bite,d25b4d298c251627d42c098fbbae62c7a1c0dba504a0734e02ddfb67548a8962.mp4,9,40,89.0,89.0,145.0,145.0,195.0,195.0,244.0,244.0,315.0,315.0,388.0,388.0,431.0,431.0,483.0,483.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,10.4583333333333,251,0,251,0,7.0,0.22222222219753085,0.0
132,cow_bite,a7756c50e773283e7b18f3b25c4188bdfdc52af1c15bb3c3dda263419f5bcfba.mp4,2,12,33.0,33.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5.48,137,0,137,0,2.0,0.0,1.0
160,cow_bite,481a1b44823cade4da232bcdac01893fe88dc684b08f25aa04ebf49341322f5a.mp4,7,0,63.0,63.0,125.0,125.0,167.0,167.0,213.0,213.0,259.0,259.0,324.0,324.0,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,6.33333333333333,152,0,152,0,6.0,0.1428571428367347,1.0
163,cow_bite,96a033f8e127430b92087c0d2c8c631daa06731bd4fff4ef57d2232c9ef15811.mp4,15,45,97.0,97.0,151.0,151.0,197.0,197.0,253.0,253.0,298.0,298.0,352.0,352.0,390.0,390.0,435.0,435.0,485.0,485.0,537.0,537.0,572.0,572.0,622.0,622.0,678.0,678.0,718.0,718.0,766.0,,,,,,,,,,,,,,,,,23.976023976024,16.0994166666667,386,0,386,0,8.0,0.46666666663555556,0.0
166,cow_bite,058c87c42249d20637e37f1eaa21939c974249d37cb0a123b2a5240cc59d3676.mp4,5,0,37.0,37.0,85.0,85.0,137.0,137.0,186.0,186.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,0.808333333333333,97,0,97,0,5.0,0.0,1.0
187,cow_bite,4c429f04e6ad37d71e2372cad1758a6014a813d1c0a3c0cd6bf559cc5f691df4.mp4,5,5,28.0,28.0,49.0,49.0,70.0,70.0,93.0,93.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6.84,171,0,171,0,5.0,0.0,1.0
192,cow_bite,3b633187f3db6761c5400dd3019a996db875d5c3d82b745a159b3b218e428b4a.mp4,6,0,51.0,51.0,101.0,101.0,154.0,154.0,202.0,202.0,250.0,250.0,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.05,126,0,126,0,6.0,0.0,1.0
195,cow_bite,01b715099d0b060560062494f445d64273968b38c4947afe7bdcfe6e76c4451f.mp4,11,0,52.0,52.0,119.0,119.0,173.0,173.0,220.0,220.0,265.0,265.0,325.0,325.0,377.0,377.0,425.0,425.0,473.0,473.0,525.0,525.0,545.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,9.75,234,0,234,0,11.0,0.0,1.0
197,cow_bite,0a41140743aef11afa3d470466bf5117c7d7cdc1fc139d7bb50ceba7bfdd9f2d.mp4,14,12,30.0,30.0,51.0,51.0,69.0,69.0,90.0,90.0,111.0,111.0,130.0,130.0,150.0,150.0,172.0,172.0,192.0,192.0,210.0,210.0,233.0,233.0,248.0,248.0,271.0,271.0,278.0,,,,,,,,,,,,,,,,,,,25.0,11.44,286,0,286,0,14.0,0.0,1.0
