Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,fps,duration,num_frames,segment_start,segment_end,cycle_start_id,prediction,mae,obo
19,cow_bite,54d5f63b8d886c2519a1eb5b4a19b409a919c0b94ac345062e8014f08487fdd4_1.mp4,19,0,49.0,49.0,105.0,105.0,154.0,154.0,209.0,209.0,254.0,254.0,310.0,310.0,359.0,359.0,408.0,408.0,454.0,454.0,502.0,502.0,551.0,551.0,603.0,603.0,666.0,666.0,714.0,714.0,758.0,758.0,816.0,816.0,859.0,859.0,907.0,907.0,960.0,,,,,,,,,24.0,17.1666666666667,412,0,412,0,20.0,0.052631578944598335,1.0
24,cow_bite,692f8f48cf19ed491f3cf69d8eeef1f7effe01ddf3126a68e20f80070cde51ea_1.mp4,19,0,21.0,21.0,36.0,36.0,53.0,53.0,72.0,72.0,84.0,84.0,207.0,207.0,223.0,223.0,253.0,253.0,275.0,275.0,292.0,292.0,312.0,312.0,333.0,333.0,351.0,351.0,371.0,371.0,390.0,390.0,408.0,408.0,424.0,424.0,447.0,447.0,453.0,,,,,,,,,23.976023976024,18.76875,450,0,450,0,15.0,0.21052631577839334,0.0
30,cow_bite,2052108669082759e3e4b26bcff213b8a64e09a17d501ccb06bb477b4706323e_1.mp4,19,0,19.0,19.0,42.0,42.0,64.0,64.0,88.0,88.0,110.0,110.0,130.0,130.0,153.0,153.0,174.0,174.0,198.0,198.0,220.0,220.0,243.0,243.0,262.0,262.0,286.0,286.0,307.0,307.0,331.0,331.0,353.0,353.0,371.0,371.0,395.0,395.0,402.0,,,,,,,,,24.0,18.0,432,0,432,0,18.0,0.052631578944598335,1.0
45,cow_bite,e151c20b878c4425ce832d2f5120a218f4e31b765ec2a352130a5a877fddd041_3.mp4,18,0,50.0,50.0,350.0,350.0,425.0,425.0,482.0,482.0,534.0,534.0,589.0,589.0,635.0,635.0,687.0,687.0,740.0,740.0,792.0,792.0,847.0,847.0,893.0,893.0,947.0,947.0,991.0,991.0,1040.0,1040.0,1098.0,1098.0,1140.0,1140.0,1163.0,,,,,,,,,,,23.976023976024,23.648625,567,0,567,0,17.0,0.05555555555246913,1.0
56,cow_bite,4ff8a74c52c529eceb817a1d89e76a3ae053583c2abc491ecacbe560484b2e7e_2.mp4,13,0,23.0,23.0,46.0,46.0,69.0,69.0,91.0,91.0,115.0,115.0,134.0,134.0,158.0,158.0,182.0,182.0,207.0,207.0,229.0,229.0,251.0,251.0,274.0,274.0,285.0,,,,,,,,,,,,,,,,,,,,,24.0,22.4583333333333,539,0,539,0,13.0,0.0,1.0
68,cow_bite,85ff8081163fa72a539d5215af9e01f86a078178bd0b2f4b93c71ba033ab456a_2.mp4,15,0,16.0,16.0,30.0,30.0,46.0,46.0,60.0,60.0,78.0,78.0,91.0,91.0,107.0,107.0,123.0,123.0,139.0,139.0,156.0,156.0,170.0,170.0,188.0,188.0,204.0,204.0,219.0,219.0,227.0,,,,,,,,,,,,,,,,,24.0,19.2916666666667,463,0,463,0,15.0,0.0,1.0
69,cow_bite,85ff8081163fa72a539d5215af9e01f86a078178bd0b2f4b93c71ba033ab456a_3.mp4,14,0,16.0,16.0,31.0,31.0,46.0,46.0,60.0,60.0,77.0,77.0,92.0,92.0,109.0,109.0,122.0,122.0,140.0,140.0,156.0,156.0,171.0,171.0,187.0,187.0,204.0,204.0,211.0,,,,,,,,,,,,,,,,,,,24.0,17.5833333333333,422,0,422,0,13.0,0.07142857142346938,1.0
77,cow_bite,95040dc15ce9ada82353103a13d1b395c937a9ea6747159f631bfa492b98373f_4.mp4,18,0,18.0,18.0,36.0,36.0,53.0,53.0,73.0,73.0,90.0,90.0,111.0,111.0,129.0,129.0,146.0,146.0,162.0,162.0,180.0,180.0,197.0,197.0,215.0,215.0,233.0,233.0,258.0,258.0,276.0,276.0,294.0,294.0,312.0,312.0,321.0,,,,,,,,,,,24.0,14.6666666666667,352,0,352,0,18.0,0.0,1.0
84,cow_bite,d22ff64fcde2391afb2df7381a24370f7152a727144b9b44ac4d2a82a84dddcc_1.mp4,7,0,22.0,22.0,40.0,40.0,62.0,62.0,84.0,84.0,105.0,105.0,128.0,128.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,6.54166666666667,157,0,157,0,6.0,0.1428571428367347,1.0
88,cow_bite,e8793e070b7f0381aef1a8f802010929abf59e7dd0014be27be3844ff54ae181_1.mp4,6,0,14.0,14.0,30.0,30.0,47.0,47.0,62.0,62.0,78.0,78.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,5.16666666666667,124,0,124,0,3.0,0.49999999991666666,0.0
