Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,fps,duration,num_frames,segment_start,segment_end,cycle_start_id,prediction,mae,obo
5,cow_bite,6bad72b6e29e294f91508e5dbcc3b762e42c9103ddcf6e70968f7fe8d030a808_1.mp4,12,0,21.0,21.0,40.0,40.0,59.0,59.0,82.0,82.0,102.0,102.0,121.0,121.0,140.0,140.0,161.0,161.0,181.0,181.0,200.0,200.0,221.0,221.0,229.0,,,,,,,,,,,,,,,,,,,,,,,24.0,10.0,240,0,240,0,11.0,0.08333333332638888,1.0
12,cow_bite,14ac6845ecc16c132aa2ecc75f5619c36d603e5f5e9021a3502fabde86a4363f_2.mp4,20,0,16.0,16.0,28.0,28.0,43.0,43.0,55.0,55.0,69.0,69.0,81.0,81.0,98.0,98.0,108.0,108.0,124.0,124.0,141.0,141.0,151.0,151.0,166.0,166.0,179.0,179.0,195.0,195.0,209.0,209.0,222.0,222.0,236.0,236.0,250.0,250.0,265.0,265.0,271.0,,,,,,,15.0,21.8,327,0,327,0,20.0,0.0,1.0
29,cow_bite,756025eb6d43d923f9f175cb27e2a31cc0412c31de9278f6af8a7dccc225841a_1.mp4,10,0,24.0,24.0,45.0,45.0,66.0,66.0,88.0,88.0,196.0,196.0,229.0,229.0,260.0,260.0,286.0,286.0,311.0,311.0,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,13.75,330,0,330,0,9.0,0.09999999999,1.0
35,cow_bite,b1c6177d364b621dccd0cc51731a53a6022dd589b7222a146464538cc28f7dbb_1.mp4,11,0,28.0,28.0,76.0,76.0,131.0,131.0,172.0,172.0,222.0,222.0,270.0,270.0,319.0,319.0,360.0,360.0,407.0,407.0,447.0,447.0,479.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,20.0,480,0,480,0,10.0,0.09090909090082644,1.0
42,cow_bite,d136ae29ffec48fd62ef8dbf80878dfece480fdbfcb72855a780cdcd03f0d08e_1.mp4,7,0,45.0,45.0,85.0,85.0,158.0,158.0,214.0,214.0,266.0,266.0,313.0,313.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.98,14.6788990825688,352,0,352,0,1.0,0.8571428570204082,0.0
51,cow_bite,4a639247a4b687c6ae226f986414241864b4174f8e30190b62ad4821e5c3f875_2.mp4,11,0,27.0,27.0,51.0,51.0,72.0,72.0,95.0,95.0,119.0,119.0,140.0,140.0,163.0,163.0,185.0,185.0,206.0,206.0,228.0,228.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,24.0,20.5,492,0,492,0,11.0,0.0,1.0
66,cow_bite,74ca4423b3f022a944a4f84d4c57a31c715f69041e3cc5911de83ef128a94b7f_1.mp4,6,0,18.0,18.0,34.0,34.0,55.0,55.0,73.0,73.0,90.0,90.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,5.33333333333333,128,0,128,0,6.0,0.0,1.0
67,cow_bite,85ff8081163fa72a539d5215af9e01f86a078178bd0b2f4b93c71ba033ab456a_1.mp4,14,0,20.0,20.0,36.0,36.0,54.0,54.0,67.0,67.0,83.0,83.0,99.0,99.0,116.0,116.0,131.0,131.0,148.0,148.0,164.0,164.0,180.0,180.0,194.0,194.0,209.0,209.0,216.0,,,,,,,,,,,,,,,,,,,24.0,9.5,228,0,228,0,14.0,0.0,1.0
79,cow_bite,a08cd526a4dda562d02e7c1abc655fe1726c908ec696fca4b533e0a84312205b_1.mp4,5,0,80.0,80.0,153.0,153.0,238.0,238.0,328.0,328.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.35833333333333,163,0,163,0,1.0,0.79999999984,0.0
100,cow_bite,ef873c07441832ae0e3a1180765f29725d224b26bd94b5d3ab8b3832a02dec0e.mp4,9,0,43.0,43.0,94.0,94.0,139.0,139.0,200.0,200.0,245.0,245.0,287.0,287.0,331.0,331.0,375.0,375.0,391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.54166666666667,185,0,185,0,7.0,0.22222222219753085,0.0
121,cow_bite,b677d9397eae6ca4518f985213fbf1ba1a908d9d572399142a0da91786d0baf0.mp4,5,50,85.0,85.0,138.0,138.0,186.0,186.0,228.0,228.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.30833333333333,157,0,157,0,8.0,0.59999999988,0.0
126,cow_bite,ac41c4d6f732896ddd0679653319f320fa627ab6fe82f6ab153b3637a377904e.mp4,20,10,34.0,34.0,58.0,58.0,79.0,79.0,100.0,100.0,124.0,124.0,144.0,144.0,168.0,168.0,192.0,192.0,218.0,218.0,234.0,234.0,260.0,260.0,280.0,280.0,302.0,302.0,327.0,327.0,349.0,349.0,368.0,368.0,384.0,384.0,406.0,406.0,432.0,432.0,441.0,,,,,,,23.976023976024,17.9762916666667,431,0,431,0,20.0,0.0,1.0
